EbN0_dB,BER_soft,BER_hard,BER_bpsk
0.0,0.0919140000,0.1923456000,0.0786496035
1.0,0.0424883000,0.1264177000,0.0562819520
2.0,0.0149332000,0.0703083000,0.0375061284
3.0,0.0039149000,0.0317521000,0.0228784076
4.0,0.0007587000,0.0113790000,0.0125008180
5.0,0.0001135000,0.0031767000,0.0059538671
6.0,0.0000123000,0.0006503000,0.0023882908
7.0,0.0000019000,0.0001085000,0.0007726748
8.0,0.0000000000,0.0000109000,0.0001909078
9.0,0.0000000000,0.0000010000,0.0000336272
10.0,0.0000000000,0.0000000000,0.0000038721
